TIMESTAMP,SET.Close,SET50.Close 2,SET100.Close 3,MAI.Close 4,AGRI.Close 5,FOOD.Close 6,FASHION.Close 7,HOME.Close 8,PERSON.Close 9,BANK.Close 10,FIN.Close 11,INSUR.Close 12,AUTO.Close 13,IMM.Close 14,PAPER.Close 15,PETRO.Close 16,PKG.Close 17,STEEL.Close 18,CONMAT.Close 19,CONS.Close 20,PFNREIT.Close 21,PROP.Close 22,ENERG.Close 23,MINE.Close 24,COMM.Close 25,HELTH.Close 26,MEDIA.Close 27,PROF.Close 28,TOURISM.Close 29,TRANS.Close 30,ETRON.Close 31,ICT.Close 32
22-Dec-2015,1261.66,802.23,1789.86,504.56,161.21,10075.83,698.61,42.08,459.41,422.15,2219.66,16342.49,420.19,62.82,894.58,717.02,3040.39,33.54,12309.44,127.14,164.02,246.96,14601.58,10.05,26138.22,5153.51,61.04,194.95,620.09,240.54,1733.32,138.10
23-Dec-2015,1274.50,810.78,1809.36,514.61,161.80,10145.17,702.34,42.40,463.58,426.15,2241.66,16315.79,420.93,64.66,905.83,742.83,3102.23,33.89,12334.67,128.59,164.36,249.34,14874.72,9.80,26558.54,5170.30,60.90,202.71,625.25,237.35,1750.43,141.13
24-Dec-2015,1284.15,816.42,1822.47,520.69,163.76,10189.11,708.29,43.33,470.87,426.90,2242.39,16465.85,423.68,65.69,922.71,758.94,3136.89,34.03,12566.72,129.99,164.75,250.81,15071.06,9.89,26573.84,5134.83,61.48,206.51,625.16,240.77,1789.64,142.05
25-Dec-2015,1282.93,815.07,1820.06,519.94,163.45,10216.75,708.11,43.24,473.84,425.48,2252.38,16528.96,418.88,65.52,933.96,755.18,3132.80,33.94,12588.77,131.09,165.68,251.09,14928.37,9.89,26479.19,5172.55,61.88,206.13,626.38,240.49,1799.13,142.38
28-Dec-2015,1285.87,815.37,1821.51,520.30,163.94,10187.94,707.18,44.01,482.96,426.66,2298.73,16668.02,422.57,65.66,933.96,750.42,3169.00,34.40,12690.54,133.18,165.00,251.95,14896.83,9.80,26530.85,5239.60,61.95,200.67,629.25,240.35,1796.81,142.38
29-Dec-2015,1283.78,811.78,1815.05,521.16,164.00,10298.62,708.30,43.84,487.58,425.49,2313.34,16602.81,422.44,66.28,939.59,746.24,3195.31,34.29,12811.05,133.50,165.90,252.36,14642.42,9.64,26379.21,5249.77,61.81,204.36,627.35,242.98,1810.58,141.47
30-Dec-2015,1288.02,813.55,1821.66,522.62,164.62,10407.72,702.75,43.88,487.81,424.11,2341.55,16736.16,426.37,66.45,945.21,737.93,3186.29,34.86,12890.45,135.36,166.64,256.77,14825.01,10.30,26217.93,5289.04,62.78,204.74,621.85,242.64,1800.08,140.04
31-Dec-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-2016,1263.41,794.95,1780.42,513.33,162.65,10168.24,700.11,43.10,495.81,414.78,2311.61,16645.11,419.71,65.00,928.33,733.34,3138.13,34.28,12604.17,132.09,166.56,252.57,14575.45,9.89,25963.45,5220.32,61.32,199.40,609.30,240.17,1776.17,133.04
05-Jan-2016,1253.34,785.72,1762.26,508.77,161.54,10120.39,695.38,43.17,491.92,416.18,2292.68,16423.91,416.62,65.49,905.83,729.28,3119.81,33.97,12380.12,132.78,165.97,251.72,14359.30,9.72,26116.54,5295.95,61.91,198.26,607.95,238.48,1807.31,125.71
06-Jan-2016,1260.04,790.02,1772.95,506.95,162.97,10047.17,697.00,42.82,497.01,414.75,2305.47,16176.48,418.43,65.94,922.71,725.95,3138.36,34.24,12248.71,132.78,166.89,254.26,14440.42,9.89,26419.69,5329.31,62.08,198.64,605.54,240.21,1797.75,131.01
07-Jan-2016,1224.83,761.75,1713.68,490.09,159.30,9900.98,690.39,41.74,486.14,401.70,2260.91,15987.05,412.06,63.62,900.20,684.91,3093.15,33.10,11800.56,129.09,166.80,249.09,13697.11,9.55,25993.57,5206.70,60.36,197.11,600.27,236.56,1773.48,127.48
