Symbol,Sector,Total Asset,TotalLiabilities,Paid-upCap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return onEquity,Return onAsset,Gross ProfitMargin,Net ProfitMargin,EBIT Margin,D/E,Current Ratio,FixedAssetTurnover,TotalAssetTurnover
BCP *,Energy & Utilities,139133134.00,87563008.00,1376923.00,44380553.00,70415194.00,77037411.00,-3373269.00,-6622217.00,-6571488.00,-5.02,3405595.00,-8291452.00,15918600.00,11032743.00,-12.80,-3.36,-0.94,-9.33,-9.40,1.97,1.37,3.24,1.32
BCPG *,Energy & Utilities,42687530.00,27799948.00,9994855.00,14838144.00,2291626.00,932638.00,1855556.00,1358988.00,928466.00,0.46,1599498.00,-4718178.00,5624494.00,2505814.00,11.74,6.77,64.06,40.52,59.30,1.87,0.81,0.31,0.12
BGRIM *,Energy & Utilities,126166739.00,89391061.00,5213800.00,26746162.00,22688272.00,18916307.00,6488654.00,3771965.00,1097837.00,0.34,7293862.00,-3937504.00,-5994431.00,-2638073.00,9.80,6.30,20.13,4.84,16.63,3.34,1.36,0.62,0.38
BPP *,Energy & Utilities,52141416.00,11935790.00,30510217.00,39404886.00,5286409.00,3279047.00,2265413.00,2007362.00,1655801.00,0.54,51988.00,1364740.00,3471274.00,4888002.00,5.60,5.52,22.45,31.32,37.97,0.30,1.63,0.99,0.18
CKP *,Energy & Utilities,62899396.00,28744966.00,8129383.00,22641625.00,3619690.00,3705987.00,688561.00,-86297.00,-434392.00,-0.05,894560.00,862302.00,-1237468.00,519394.00,0.50,1.60,8.59,-12.00,-2.38,1.27,0.90,0.29,0.13
EA *,Energy & Utilities,75867471.00,48860678.00,373000.00,25433086.00,8993436.00,5608859.00,4718083.00,3384577.00,2601481.00,0.70,4760261.00,-8776316.00,-1085015.00,-5101070.00,26.70,10.85,44.56,28.93,37.63,1.92,0.81,0.33,0.24
EGCO *,Energy & Utilities,215564638.00,117015856.00,5264650.00,97951942.00,22910399.00,14348156.00,10118618.00,8562243.00,4661676.00,8.85,5453281.00,-10294160.00,1078482.00,-3762397.00,10.00,7.43,23.89,20.35,37.37,1.19,2.53,0.87,0.22
ESSO *,Energy & Utilities,59688684.00,46623000.00,17075181.00,13058250.00,64004942.00,74904692.00,-9635971.00,-10899750.00,-8811046.00,-2.55,18177.00,-476395.00,535522.00,77304.00,-61.84,-24.35,-13.15,-13.77,-17.03,3.57,0.65,5.58,2.34
GPSC *,Energy & Utilities,249970866.83,141316067.75,28197293.67,99874733.45,37045916.30,30530057.25,10881750.82,6515859.06,3475860.11,1.23,10479275.60,-2271058.29,-9678958.19,-1470740.88,8.63,4.99,18.89,9.38,17.59,1.41,2.27,0.74,0.30
GULF *,Energy & Utilities,152603826.08,121335486.06,10666500.00,24762694.65,16777667.45,13004474.34,5213301.90,3773193.11,1467583.52,0.14,3765211.71,-19762962.45,14754501.34,-1243249.40,11.24,5.97,23.79,8.75,22.49,4.90,1.06,0.43,0.25
GUNKUL *,Energy & Utilities,40503708.00,30797569.00,2220633.00,9613956.00,3575204.00,2411043.00,1828693.00,1164161.00,718333.00,0.08,1306151.00,-1390919.00,76593.00,-8175.00,23.20,8.01,30.30,20.09,32.56,3.20,0.63,0.31,0.20
